cod_mun,alpha_mun_mean,alpha_mun_lo,alpha_mun_hi,alpha_mun_range,nome_municipio
4122172,18816.74295213879,12030.658789232128,25549.50926120091,13518.850471968783,4122172
4122206,33531.84228669636,26743.32054682346,40427.448885253514,13684.128338430055,4122206
4122305,29151.107553627568,22720.48998118304,35584.251313821434,12863.761332638394,4122305
4122404,35853.96304789557,29217.432838088567,42590.41672842844,13372.983890339874,4122404
4122503,33121.63961267326,26519.841444569287,39711.79333049645,13191.951885927167,4122503
4122602,27316.050945524195,20762.677209810972,33803.86048972558,13041.183279914607,4122602
4122651,15617.631199220004,8823.32542369261,22357.33832506571,13534.0129013731,4122651
4122701,57861.705688130976,51045.074008719166,64748.018253567156,13702.94424484799,4122701
4122800,22669.84841786617,16402.323939733364,29095.5984298547,12693.274490121337,4122800
4122909,18803.65871771175,11783.68587931502,25412.118785672705,13628.432906357684,4122909
4123006,22298.106195826207,15759.619774884073,28918.244431822284,13158.624656938211,4123006
4123105,19127.78980395147,12521.71441408201,25999.56417667433,13477.84976259232,4123105
4123204,28879.171703492655,22321.072134964445,35582.78329470222,13261.711159737773,4123204
4123303,28651.02855506257,21942.347635413647,35358.52813524781,13416.180499834165,4123303
4123402,20020.876169514708,13325.468915541614,26675.518304150337,13350.049388608722,4123402
4123501,31577.639910190686,24965.597171340356,38288.495505950945,13322.898334610589,4123501
4123600,22714.870839393072,16271.944727687502,29467.073505164786,13195.128777477285,4123600
4123709,18780.41264879495,12175.56833298099,25340.860633273,13165.29230029201,4123709
4123808,19686.739375967252,13135.43523654745,26302.545954372225,13167.110717824775,4123808
4123824,25583.293979913156,18755.498792240993,32253.19124348159,13497.692451240597,4123824
4123857,15172.925580114908,8870.907207066344,21523.51349043627,12652.606283369927,4123857
4123907,24927.789955059896,18067.14855888073,31690.737740354518,13623.589181473788,4123907
4123956,17553.07416468639,10892.197403051276,24320.754919044994,13428.557515993718,4123956
4124004,18166.6250612264,11739.43012607391,24592.85714277308,12853.427016699168,4124004
